Entity,Day,"Total confirmed deaths due to COVID-19 per 100,000 people"
Indonesia,2020-01-04,0.0
Indonesia,2020-01-05,0.0
Indonesia,2020-01-06,0.0
Indonesia,2020-01-07,0.0
Indonesia,2020-01-08,0.0
Indonesia,2020-01-09,0.0
Indonesia,2020-01-10,0.0
Indonesia,2020-01-11,0.0
Indonesia,2020-01-12,0.0
Indonesia,2020-01-13,0.0
Indonesia,2020-01-14,0.0
Indonesia,2020-01-15,0.0
Indonesia,2020-01-16,0.0
Indonesia,2020-01-17,0.0
Indonesia,2020-01-18,0.0
Indonesia,2020-01-19,0.0
Indonesia,2020-01-20,0.0
Indonesia,2020-01-21,0.0
Indonesia,2020-01-22,0.0
Indonesia,2020-01-23,0.0
Indonesia,2020-01-24,0.0
Indonesia,2020-01-25,0.0
Indonesia,2020-01-26,0.0
Indonesia,2020-01-27,0.0
Indonesia,2020-01-28,0.0
Indonesia,2020-01-29,0.0
Indonesia,2020-01-30,0.0
Indonesia,2020-01-31,0.0
Indonesia,2020-02-01,0.0
Indonesia,2020-02-02,0.0
Indonesia,2020-02-03,0.0
Indonesia,2020-02-04,0.0
Indonesia,2020-02-05,0.0
Indonesia,2020-02-06,0.0
Indonesia,2020-02-07,0.0
Indonesia,2020-02-08,0.0
Indonesia,2020-02-09,0.0
Indonesia,2020-02-10,0.0
Indonesia,2020-02-11,0.0
Indonesia,2020-02-12,0.0
Indonesia,2020-02-13,0.0
Indonesia,2020-02-14,0.0
Indonesia,2020-02-15,0.0
Indonesia,2020-02-16,0.0
Indonesia,2020-02-17,0.0
Indonesia,2020-02-18,0.0
Indonesia,2020-02-19,0.0
Indonesia,2020-02-20,0.0
Indonesia,2020-02-21,0.0
Indonesia,2020-02-22,0.0
Indonesia,2020-02-23,0.0
Indonesia,2020-02-24,0.0
Indonesia,2020-02-25,0.0
Indonesia,2020-02-26,0.0
Indonesia,2020-02-27,0.0
Indonesia,2020-02-28,0.0
Indonesia,2020-02-29,0.0
Indonesia,2020-03-01,0.0
Indonesia,2020-03-02,0.0
Indonesia,2020-03-03,0.0
Indonesia,2020-03-04,0.0
Indonesia,2020-03-05,0.0
Indonesia,2020-03-06,0.0
Indonesia,2020-03-07,0.0
Indonesia,2020-03-08,0.0
Indonesia,2020-03-09,0.0
Indonesia,2020-03-10,0.0
Indonesia,2020-03-11,0.0003586408
Indonesia,2020-03-12,0.0003586408
Indonesia,2020-03-13,0.0007172816
Indonesia,2020-03-14,0.0014345632
Indonesia,2020-03-15,0.0014345632
Indonesia,2020-03-16,0.0017932039
Indonesia,2020-03-17,0.0017932039
Indonesia,2020-03-18,0.006814175
Indonesia,2020-03-19,0.008966019
Indonesia,2020-03-20,0.011476506
Indonesia,2020-03-21,0.01362835
Indonesia,2020-03-22,0.017214758
Indonesia,2020-03-23,0.017573398
Indonesia,2020-03-24,0.019725243
Indonesia,2020-03-25,0.020801166
Indonesia,2020-03-26,0.027973982
Indonesia,2020-03-27,0.031201748
Indonesia,2020-03-28,0.03658136
Indonesia,2020-03-29,0.04088505
Indonesia,2020-03-30,0.043754175
Indonesia,2020-03-31,0.048775148
Indonesia,2020-04-01,0.056306604
Indonesia,2020-04-02,0.06096893
Indonesia,2020-04-03,0.06491398
Indonesia,2020-04-04,0.06850039
Indonesia,2020-04-05,0.07101087
Indonesia,2020-04-06,0.074955925
Indonesia,2020-04-07,0.07925961
Indonesia,2020-04-08,0.086073786
Indonesia,2020-04-09,0.10041942
Indonesia,2020-04-10,0.10974408
Indonesia,2020-04-11,0.117275536
Indonesia,2020-04-12,0.13377301
Indonesia,2020-04-13,0.14309767
Indonesia,2020-04-14,0.16461612
Indonesia,2020-04-15,0.16820253
Indonesia,2020-04-16,0.17788583
Indonesia,2020-04-17,0.1864932
Indonesia,2020-04-18,0.19187282
Indonesia,2020-04-19,0.20872894
Indonesia,2020-04-20,0.21159807
Indonesia,2020-04-21,0.22092272
Indonesia,2020-04-22,0.2277369
Indonesia,2020-04-23,0.23204058
Indonesia,2020-04-24,0.2471035
Indonesia,2020-04-25,0.25822136
Indonesia,2020-04-26,0.2664701
Indonesia,2020-04-27,0.2743602
Indonesia,2020-04-28,0.27722934
Indonesia,2020-04-29,0.28117436
Indonesia,2020-04-30,0.2840435
Indonesia,2020-05-01,0.28691262
Indonesia,2020-05-02,0.2980305
Indonesia,2020-05-03,0.30305147
Indonesia,2020-05-04,0.30986565
Indonesia,2020-05-05,0.31273475
Indonesia,2020-05-06,0.3209835
Indonesia,2020-05-07,0.33353594
Indonesia,2020-05-08,0.33819827
Indonesia,2020-05-09,0.3439365
Indonesia,2020-05-10,0.34895748
Indonesia,2020-05-11,0.35541302
Indonesia,2020-05-12,0.36115128
Indonesia,2020-05-13,0.36868274
Indonesia,2020-05-14,0.37406233
Indonesia,2020-05-15,0.3858975
Indonesia,2020-05-16,0.39055982
Indonesia,2020-05-17,0.41171962
Indonesia,2020-05-18,0.4271412
Indonesia,2020-05-19,0.4379004
Indonesia,2020-05-20,0.44543186
Indonesia,2020-05-21,0.4583429
Indonesia,2020-05-22,0.47555768
Indonesia,2020-05-23,0.4845237
Indonesia,2020-05-24,0.49205515
Indonesia,2020-05-25,0.49886933
Indonesia,2020-05-26,0.5085526
Indonesia,2020-05-27,0.5282779
Indonesia,2020-05-28,0.5365266
Indonesia,2020-05-29,0.545134
Indonesia,2020-05-30,0.5641419
Indonesia,2020-05-31,0.5784876
Indonesia,2020-06-01,0.5885295
Indonesia,2020-06-02,0.59641963
Indonesia,2020-06-03,0.6089721
Indonesia,2020-06-04,0.6172208
Indonesia,2020-06-05,0.6347942
Indonesia,2020-06-06,0.64591205
Indonesia,2020-06-07,0.6638441
Indonesia,2020-06-08,0.6753206
Indonesia,2020-06-09,0.6896662
Indonesia,2020-06-10,0.7025773
Indonesia,2020-06-11,0.7172816
Indonesia,2020-06-12,0.73449636
Indonesia,2020-06-13,0.74991786
Indonesia,2020-06-14,0.76533943
Indonesia,2020-06-15,0.78829247
Indonesia,2020-06-16,0.80012757
Indonesia,2020-06-17,0.8162664
Indonesia,2020-06-18,0.8388608
Indonesia,2020-06-19,0.8510546
Indonesia,2020-06-20,0.87113845
Indonesia,2020-06-21,0.88404953
Indonesia,2020-06-22,0.896602
Indonesia,2020-06-23,0.9091544
Indonesia,2020-06-24,0.9227827
Indonesia,2020-06-25,0.93963885
Indonesia,2020-06-26,0.96223325
Indonesia,2020-06-27,0.9755029
Indonesia,2020-06-28,0.9876967
Indonesia,2020-06-29,1.0059874
Indonesia,2020-06-30,1.0314509
Indonesia,2020-07-01,1.052252
Indonesia,2020-07-02,1.07126
Indonesia,2020-07-03,1.0888335
Indonesia,2020-07-04,1.1078414
Indonesia,2020-07-05,1.13725
Indonesia,2020-07-06,1.1623548
Indonesia,2020-07-07,1.1867423
Indonesia,2020-07-08,1.2046744
Indonesia,2020-07-09,1.2254755
Indonesia,2020-07-10,1.2441249
Indonesia,2020-07-11,1.2677952
