Entity,Day,Daily_new_cases_per_million
Indonesia,2020-03-01,0.0
Indonesia,2020-03-02,0.001024688
Indonesia,2020-03-03,0.003074064
Indonesia,2020-03-04,0.003074064
Indonesia,2020-03-05,0.003074064
Indonesia,2020-03-06,0.004098752
Indonesia,2020-03-07,0.004098752
Indonesia,2020-03-08,0.0051234397
Indonesia,2020-03-09,0.004781877
Indonesia,2020-03-10,0.010161489
Indonesia,2020-03-11,0.014943366
Indonesia,2020-03-12,0.019127509
Indonesia,2020-03-13,0.020322978
Indonesia,2020-03-14,0.03885275
Indonesia,2020-03-15,0.066348545
Indonesia,2020-03-16,0.06558003
Indonesia,2020-03-17,0.07838863
Indonesia,2020-03-18,0.102468796
Indonesia,2020-03-19,0.14089459
Indonesia,2020-03-20,0.16958585
Indonesia,2020-03-21,0.19520305
Indonesia,2020-03-22,0.20340057
Indonesia,2020-03-23,0.22799307
Indonesia,2020-03-24,0.2633448
Indonesia,2020-03-25,0.28844967
Indonesia,2020-03-26,0.29920888
Indonesia,2020-03-27,0.34685686
Indonesia,2020-03-28,0.3612025
Indonesia,2020-03-29,0.3950172
Indonesia,2020-03-30,0.4278072
Indonesia,2020-03-31,0.43139362
Indonesia,2020-04-01,0.45444912
Indonesia,2020-04-02,0.45957255
Indonesia,2020-04-03,0.48160335
Indonesia,2020-04-04,0.4800663
Indonesia,2020-04-05,0.50619584
Indonesia,2020-04-06,0.55179447
Indonesia,2020-04-07,0.6199362
Indonesia,2020-04-08,0.6552879
Indonesia,2020-04-09,0.770053
Indonesia,2020-04-10,0.7818369
Indonesia,2020-04-11,0.896602
Indonesia,2020-04-12,1.0082929
Indonesia,2020-04-13,1.0585027
Indonesia,2020-04-14,1.0764347
Indonesia,2020-04-15,1.1169099
Indonesia,2020-04-16,1.1389407
Indonesia,2020-04-17,1.2352613
Indonesia,2020-04-18,1.2326996
Indonesia,2020-04-19,1.1958108
Indonesia,2020-04-20,1.1286938
Indonesia,2020-04-21,1.1763418
Indonesia,2020-04-22,1.169169
Indonesia,2020-04-23,1.157385
Indonesia,2020-04-24,1.172243
Indonesia,2020-04-25,1.2086195
Indonesia,2020-04-26,1.1819775
Indonesia,2020-04-27,1.1968355
Indonesia,2020-04-28,1.2173293
Indonesia,2020-04-29,1.2055454
Indonesia,2020-04-30,1.2004219
Indonesia,2020-05-01,1.198885
Indonesia,2020-05-02,1.1456012
Indonesia,2020-05-03,1.1835146
Indonesia,2020-05-04,1.2762488
Indonesia,2020-05-05,1.3116006
Indonesia,2020-05-06,1.3664213
Indonesia,2020-05-07,1.3618103
Indonesia,2020-05-08,1.3121129
Indonesia,2020-05-09,1.4355879
Indonesia,2020-05-10,1.4550569
Indonesia,2020-05-11,1.3720572
Indonesia,2020-05-12,1.3720572
Indonesia,2020-05-13,1.5370319
Indonesia,2020-05-14,1.6548711
Indonesia,2020-05-15,1.733772
Indonesia,2020-05-16,1.7317226
Indonesia,2020-05-17,1.7839817
Indonesia,2020-05-18,1.9187282
Indonesia,2020-05-19,1.9197528
Indonesia,2020-05-20,1.9218023
Indonesia,2020-05-21,2.1293015
Indonesia,2020-05-22,2.2030792
Indonesia,2020-05-23,2.4182637
Indonesia,2020-05-24,2.4372203
Indonesia,2020-05-25,2.4285104
Indonesia,2020-05-26,2.392134
Indonesia,2020-05-27,2.3885477
Indonesia,2020-05-28,2.2420173
Indonesia,2020-05-29,2.2645605
Indonesia,2020-05-30,2.0637217
Indonesia,2020-05-31,2.1528695
Indonesia,2020-06-01,2.1467214
Indonesia,2020-06-02,2.246116
Indonesia,2020-06-03,2.2450912
Indonesia,2020-06-04,2.1928322
Indonesia,2020-06-05,2.2056408
Indonesia,2020-06-06,2.4290228
Indonesia,2020-06-07,2.4146771
Indonesia,2020-06-08,2.6093678
