provinsi_sasaran;geometry_prov;Latitude (generated);Longitude (generated);divaksin_1
YOGYAKARTA;MultiPolygon;-7,899486582;110,477696563;3239412
SUMATERA UTARA;MultiPolygon;1,478487321;98,569544068;11179235
SUMATERA SELATAN;MultiPolygon;-3,360627312;103,952945636;6089758
SUMATERA BARAT;MultiPolygon;-1,622118437;100,004471233;4168907
SULAWESI UTARA;MultiPolygon;2,104979135;125,071936412;1884006
SULAWESI TENGGARA;MultiPolygon;-4,567389221;122,457457783;1797824
SULAWESI TENGAH;MultiPolygon;-0,984496975;121,885075407;1896716
SULAWESI SELATAN;MultiPolygon;-5,044463329;120,069388382;6412981
SULAWESI BARAT;MultiPolygon;-2,314504610;119,336384049;877556
RIAU;MultiPolygon;0,765738737;102,076986034;4879395
PAPUA BARAT;MultiPolygon;-1,870280589;132,069359090;518129
PAPUA;MultiPolygon;-3,900313928;137,250124664;888791
NUSA TENGGARA TIMUR;MultiPolygon;-9,093339591;121,979126766;3682149
NUSA TENGGARA BARAT;MultiPolygon;-8,613133142;117,614487578;3907236
MALUKU UTARA;MultiPolygon;-0,140946147;127,409189807;862257
MALUKU;MultiPolygon;-5,599788367;130,942872444;1080892
LAMPUNG;MultiPolygon;-5,252326515;104,953683829;6120848
KEPULAUAN RIAU;MultiPolygon;1,404795083;105,177648231;1771627
KEPULAUAN BANGKA BELITUNG;MultiPolygon;-2,680760569;107,091964140;1121887
KALIMANTAN UTARA;MultiPolygon;3,198721505;117,064922922;532732
KALIMANTAN TIMUR;MultiPolygon;0,186838309;117,264103540;2963893
KALIMANTAN TENGAH;MultiPolygon;-1,571078623;113,529180602;2045229
KALIMANTAN SELATAN;MultiPolygon;-3,045438412;116,009272885;3043312
KALIMANTAN BARAT;MultiPolygon;-0,480872266;110,114503401;3521406
JAWA TIMUR;MultiPolygon;-7,512676706;113,319458869;30252503
JAWA TENGAH;MultiPolygon;-7,180583817;110,353867302;27028877
JAWA BARAT;MultiPolygon;-6,868354221;107,595970396;36729201
JAMBI;MultiPolygon;-1,783912402;102,651337094;2656907
GORONTALO;MultiPolygon;0,663224413;122,352124889;872670
DKI JAKARTA;MultiPolygon;-5,981626004;106,720228229;12592992
BENGKULU;MultiPolygon;-3,794219220;102,656170244;1482383
BANTEN;MultiPolygon;-6,488589797;105,955829356;8825477
BALI;MultiPolygon;-8,473656133;115,138411959;3964011
ACEH;MultiPolygon;3,692531012;96,492951043;4141528
;MultiPolygon;-3,115990020;120,896241476;846190
