Entity,Code,Year,Deaths - Sex: all - Age: all - Variant: estimates,Deaths - Sex: all - Age: all - Variant: medium,Births - Sex: all - Age: all - Variant: estimates,Births - Sex: all - Age: all - Variant: medium
Indonesia,IDN,1950,1435160,,2783163,
Indonesia,IDN,1951,1444298,,2892411,
Indonesia,IDN,1952,1454169.9,,3005894,
Indonesia,IDN,1953,1468481.9,,3120435,
Indonesia,IDN,1954,1483242,,3244910,
Indonesia,IDN,1955,1499259,,3365766,
Indonesia,IDN,1956,1512160,,3477703,
Indonesia,IDN,1957,1524872,,3586852,
Indonesia,IDN,1958,1550791,,3699360,
Indonesia,IDN,1959,1556249,,3810136,
Indonesia,IDN,1960,1568601,,3919585,
Indonesia,IDN,1961,1583457,,4017562,
Indonesia,IDN,1962,1584576,,4109792,
Indonesia,IDN,1963,1593208,,4202713,
Indonesia,IDN,1964,1594677,,4294836,
Indonesia,IDN,1965,2111123,,4390058,
Indonesia,IDN,1966,1729451.9,,4444550,
Indonesia,IDN,1967,1585671,,4495626,
Indonesia,IDN,1968,1584249,,4545921,
Indonesia,IDN,1969,1576784.9,,4611695,
Indonesia,IDN,1970,1569098,,4649581,
Indonesia,IDN,1971,1565151,,4676455,
Indonesia,IDN,1972,1562496,,4712199,
Indonesia,IDN,1973,1560364,,4771017,
Indonesia,IDN,1974,1554717,,4750942,
Indonesia,IDN,1975,1550118,,4813924,
Indonesia,IDN,1976,1552624,,4844037,
Indonesia,IDN,1977,1540761,,4875503,
Indonesia,IDN,1978,1541175,,4954155,
Indonesia,IDN,1979,1536545,,4997095,
Indonesia,IDN,1980,1532758,,5017480,
Indonesia,IDN,1981,1536863,,5034172,
Indonesia,IDN,1982,1526362,,5071779,
Indonesia,IDN,1983,1510524,,5069385,
Indonesia,IDN,1984,1499690.1,,5049254,
Indonesia,IDN,1985,1485686,,4905103,
Indonesia,IDN,1986,1481095,,4790986,
Indonesia,IDN,1987,1482072,,4786663,
Indonesia,IDN,1988,1491827,,4822964,
Indonesia,IDN,1989,1484407,,4801113,
Indonesia,IDN,1990,1484941,,4735739,
Indonesia,IDN,1991,1482620,,4771472,
Indonesia,IDN,1992,1475622,,4717293,
Indonesia,IDN,1993,1455090,,4742367,
Indonesia,IDN,1994,1477837,,4769947,
Indonesia,IDN,1995,1498501,,4803061,
Indonesia,IDN,1996,1522824,,4854339,
Indonesia,IDN,1997,1536026,,4874197,
