Entity,Day,"Cumulative excess deaths per 100,000 people (central estimate)","Cumulative excess deaths per 100,000 people (95% CI, lower bound)","Cumulative excess deaths per 100,000 people (95% CI, upper bound)","Total confirmed deaths due to COVID-19 per 100,000 people"
Indonesia,2020-01-01,0.19005288,-0.14740251,0.84491634,
Indonesia,2020-01-04,,,,0
Indonesia,2020-01-05,,,,0
Indonesia,2020-01-06,0.3807281,-0.267246,1.6925999,0
Indonesia,2020-01-07,,,,0
Indonesia,2020-01-08,,,,0
Indonesia,2020-01-09,,,,0
Indonesia,2020-01-10,,,,0
Indonesia,2020-01-11,,,,0
Indonesia,2020-01-12,,,,0
Indonesia,2020-01-13,0.5718567,-0.37955427,2.5923202,0
Indonesia,2020-01-14,,,,0
Indonesia,2020-01-15,,,,0
Indonesia,2020-01-16,,,,0
Indonesia,2020-01-17,,,,0
Indonesia,2020-01-18,,,,0
Indonesia,2020-01-19,,,,0
Indonesia,2020-01-20,0.8032645,-0.5305798,3.3873668,0
Indonesia,2020-01-21,,,,0
Indonesia,2020-01-22,,,,0
Indonesia,2020-01-23,,,,0
Indonesia,2020-01-24,,,,0
Indonesia,2020-01-25,,,,0
Indonesia,2020-01-26,,,,0
Indonesia,2020-01-27,1.0466503,-0.6306841,4.762648,0
Indonesia,2020-01-28,,,,0
Indonesia,2020-01-29,,,,0
Indonesia,2020-01-30,,,,0
Indonesia,2020-01-31,,,,0
Indonesia,2020-02-01,,,,0
Indonesia,2020-02-02,,,,0
Indonesia,2020-02-03,1.1696571,-0.9123348,5.761847,0
Indonesia,2020-02-04,,,,0
Indonesia,2020-02-05,,,,0
Indonesia,2020-02-06,,,,0
Indonesia,2020-02-07,,,,0
Indonesia,2020-02-08,,,,0
Indonesia,2020-02-09,,,,0
Indonesia,2020-02-10,1.3539442,-1.2321616,6.9311695,0
Indonesia,2020-02-11,,,,0
Indonesia,2020-02-12,,,,0
Indonesia,2020-02-13,,,,0
Indonesia,2020-02-14,,,,0
Indonesia,2020-02-15,,,,0
Indonesia,2020-02-16,,,,0
Indonesia,2020-02-17,1.5250791,-1.5477492,8.243889,0
Indonesia,2020-02-18,,,,0
Indonesia,2020-02-19,,,,0
Indonesia,2020-02-20,,,,0
Indonesia,2020-02-21,,,,0
Indonesia,2020-02-22,,,,0
Indonesia,2020-02-23,,,,0
Indonesia,2020-02-24,1.7141459,-1.8000579,9.60641,0
Indonesia,2020-02-25,,,,0
Indonesia,2020-02-26,,,,0
Indonesia,2020-02-27,,,,0
Indonesia,2020-02-28,,,,0
Indonesia,2020-02-29,,,,0
Indonesia,2020-03-01,,,,0
Indonesia,2020-03-02,1.2569075,-2.3886306,8.487104,0
Indonesia,2020-03-03,,,,0
Indonesia,2020-03-04,,,,0
Indonesia,2020-03-05,,,,0
Indonesia,2020-03-06,,,,0
Indonesia,2020-03-07,,,,0
Indonesia,2020-03-08,,,,0
Indonesia,2020-03-09,0.72780275,-2.914212,7.3572235,0
Indonesia,2020-03-10,,,,0
Indonesia,2020-03-11,,,,0.0003586408
Indonesia,2020-03-12,,,,0.0003586408
Indonesia,2020-03-13,,,,0.0007172816
Indonesia,2020-03-14,,,,0.0014345632
Indonesia,2020-03-15,,,,0.0014345632
Indonesia,2020-03-16,0.13763879,-3.5446408,7.529163,0.0017932039
Indonesia,2020-03-17,,,,0.0017932039
Indonesia,2020-03-18,,,,0.006814175
Indonesia,2020-03-19,,,,0.008966019
Indonesia,2020-03-20,,,,0.011476506
Indonesia,2020-03-21,,,,0.01362835
Indonesia,2020-03-22,,,,0.017214758
Indonesia,2020-03-23,-0.5071977,-4.2246222,6.888578,0.017573398
Indonesia,2020-03-24,,,,0.019725243
Indonesia,2020-03-25,,,,0.020801166
Indonesia,2020-03-26,,,,0.027973982
Indonesia,2020-03-27,,,,0.031201748
Indonesia,2020-03-28,,,,0.03658136
Indonesia,2020-03-29,,,,0.04088505
Indonesia,2020-03-30,-1.2751251,-5.4031773,6.5709305,0.043754175
Indonesia,2020-03-31,,,,0.048775148
Indonesia,2020-04-01,,,,0.056306604
Indonesia,2020-04-02,,,,0.06096893
Indonesia,2020-04-03,,,,0.06491398
Indonesia,2020-04-04,,,,0.06850039
