Entity,Day,"COVID-19 doses (daily, 7-day average, per million people)"
Indonesia,2021-01-13,47.340584
Indonesia,2021-01-14,47.340584
Indonesia,2021-01-15,47.340584
Indonesia,2021-01-16,47.340584
Indonesia,2021-01-17,47.340584
Indonesia,2021-01-18,47.340584
Indonesia,2021-01-19,47.340584
Indonesia,2021-01-20,47.340584
Indonesia,2021-01-21,47.340584
Indonesia,2021-01-22,47.340584
Indonesia,2021-01-23,44.99456
Indonesia,2021-01-24,42.648537
Indonesia,2021-01-25,42.401077
Indonesia,2021-01-26,78.534645
Indonesia,2021-01-27,103.69996
Indonesia,2021-01-28,130.64055
Indonesia,2021-01-29,145.65887
Indonesia,2021-01-30,185.63965
Indonesia,2021-01-31,187.74281
Indonesia,2021-02-01,211.58731
Indonesia,2021-02-02,206.25636
Indonesia,2021-02-03,209.87863
Indonesia,2021-02-04,216.7384
Indonesia,2021-02-05,230.20128
Indonesia,2021-02-06,210.75168
Indonesia,2021-02-07,208.91748
Indonesia,2021-02-08,210.53085
Indonesia,2021-02-09,214.4677
Indonesia,2021-02-10,272.1315
Indonesia,2021-02-11,289.97235
Indonesia,2021-02-12,283.68103
Indonesia,2021-02-13,287.68576
Indonesia,2021-02-14,292.4849
Indonesia,2021-02-15,303.75082
Indonesia,2021-02-16,302.92337
Indonesia,2021-02-17,255.3881
Indonesia,2021-02-18,217.84097
Indonesia,2021-02-19,232.11693
Indonesia,2021-02-20,246.39288
Indonesia,2021-02-21,254.52327
Indonesia,2021-02-22,228.89941
Indonesia,2021-02-23,205.83983
Indonesia,2021-02-24,226.21063
Indonesia,2021-02-25,270.35828
Indonesia,2021-02-26,295.67398
Indonesia,2021-02-27,328.82748
Indonesia,2021-02-28,358.15714
Indonesia,2021-03-01,425.89438
Indonesia,2021-03-02,493.63165
Indonesia,2021-03-03,613.5642
Indonesia,2021-03-04,584.88495
Indonesia,2021-03-05,552.66595
Indonesia,2021-03-06,602.93304
Indonesia,2021-03-07,682.6374
Indonesia,2021-03-08,736.477
Indonesia,2021-03-09,790.3165
Indonesia,2021-03-10,743.52637
Indonesia,2021-03-11,786.1521
Indonesia,2021-03-12,809.70026
Indonesia,2021-03-13,853.09576
Indonesia,2021-03-14,746.89606
Indonesia,2021-03-15,740.55566
Indonesia,2021-03-16,829.89545
Indonesia,2021-03-17,893.4316
Indonesia,2021-03-18,919.9695
Indonesia,2021-03-19,983.1507
Indonesia,2021-03-20,976.38214
Indonesia,2021-03-21,1206.5757
Indonesia,2021-03-22,1096.5355
Indonesia,2021-03-23,1045.6592
Indonesia,2021-03-24,1079.2054
Indonesia,2021-03-25,1303.1827
Indonesia,2021-03-26,1583.3217
Indonesia,2021-03-27,1571.193
Indonesia,2021-03-28,1359.9147
Indonesia,2021-03-29,1448.9261
Indonesia,2021-03-30,1538.6786
Indonesia,2021-03-31,1597.2416
Indonesia,2021-04-01,1470.1265
Indonesia,2021-04-02,1110.9375
Indonesia,2021-04-03,1061.816
Indonesia,2021-04-04,1103.551
Indonesia,2021-04-05,1198.1123
Indonesia,2021-04-06,1088.1525
Indonesia,2021-04-07,988.8357
Indonesia,2021-04-08,909.2743
Indonesia,2021-04-09,1250.813
Indonesia,2021-04-10,1291.448
Indonesia,2021-04-11,1281.8754
Indonesia,2021-04-12,1294.2439
Indonesia,2021-04-13,1256.392
Indonesia,2021-04-14,1184.0403
Indonesia,2021-04-15,1196.209
Indonesia,2021-04-16,921.51263
Indonesia,2021-04-17,863.30115
Indonesia,2021-04-18,816.56104
Indonesia,2021-04-19,740.40674
Indonesia,2021-04-20,731.22656
Indonesia,2021-04-21,791.49615
Indonesia,2021-04-22,825.45325
Indonesia,2021-04-23,890.9134
Indonesia,2021-04-24,918.74493
Indonesia,2021-04-25,930.8711
Indonesia,2021-04-26,935.1389
Indonesia,2021-04-27,987.0942
Indonesia,2021-04-28,971.47076
Indonesia,2021-04-29,986.8913
Indonesia,2021-04-30,896.96985
Indonesia,2021-05-01,833.413
Indonesia,2021-05-02,809.20734
Indonesia,2021-05-03,783.7249
Indonesia,2021-05-04,765.50183
Indonesia,2021-05-05,767.2259
Indonesia,2021-05-06,751.3617
Indonesia,2021-05-07,808.0689
Indonesia,2021-05-08,900.4087
Indonesia,2021-05-09,942.6381
Indonesia,2021-05-10,951.8198
Indonesia,2021-05-11,938.52094
Indonesia,2021-05-12,820.6521
Indonesia,2021-05-13,666.79315
Indonesia,2021-05-14,526.6276
Indonesia,2021-05-15,413.79514
Indonesia,2021-05-16,375.44977
Indonesia,2021-05-17,327.74338
Indonesia,2021-05-18,365.7306
Indonesia,2021-05-19,450.76074
Indonesia,2021-05-20,661.039
Indonesia,2021-05-21,869.32117
Indonesia,2021-05-22,1006.87787
Indonesia,2021-05-23,1052.5011
Indonesia,2021-05-24,997.295
Indonesia,2021-05-25,1155.9562
Indonesia,2021-05-26,1175.5436
Indonesia,2021-05-27,1105.7633
Indonesia,2021-05-28,1111.6681
Indonesia,2021-05-29,1084.8679
Indonesia,2021-05-30,1089.5466
Indonesia,2021-05-31,1141.9819
Indonesia,2021-06-01,949.42206
Indonesia,2021-06-02,952.14825
Indonesia,2021-06-03,1006.3312
Indonesia,2021-06-04,952.81226
Indonesia,2021-06-05,996.1545
Indonesia,2021-06-06,963.80664
Indonesia,2021-06-07,987.5328
Indonesia,2021-06-08,1182.2983
Indonesia,2021-06-09,1299.1921
Indonesia,2021-06-10,1369.2905
Indonesia,2021-06-11,1459.4364
Indonesia,2021-06-12,1485.9984
Indonesia,2021-06-13,1515.0114
Indonesia,2021-06-14,1571.3196
Indonesia,2021-06-15,1530.4929
Indonesia,2021-06-16,1593.064
Indonesia,2021-06-17,1671.2845
Indonesia,2021-06-18,1719.2354
Indonesia,2021-06-19,1784.4546
Indonesia,2021-06-20,1821.7405
Indonesia,2021-06-21,1816.8993
Indonesia,2021-06-22,1896.2142
Indonesia,2021-06-23,1913.3512
Indonesia,2021-06-24,1914.55
Indonesia,2021-06-25,1969.1561
Indonesia,2021-06-26,2031.14
Indonesia,2021-06-27,2531.8584
Indonesia,2021-06-28,2569.801
Indonesia,2021-06-29,2730.6453
Indonesia,2021-06-30,2943.7974
Indonesia,2021-07-01,3130.0723
Indonesia,2021-07-02,3210.9976
Indonesia,2021-07-03,3302.2195
Indonesia,2021-07-04,2981.081
Indonesia,2021-07-05,2938.9434
Indonesia,2021-07-06,2976.4607
Indonesia,2021-07-07,2940.3262
Indonesia,2021-07-08,2907.3672
Indonesia,2021-07-09,3064.9524
Indonesia,2021-07-10,2903.1633
Indonesia,2021-07-11,2682.1504
Indonesia,2021-07-12,2595.7688
Indonesia,2021-07-13,2388.3406
Indonesia,2021-07-14,3093.2139
Indonesia,2021-07-15,3051.039
Indonesia,2021-07-16,2830.9033
Indonesia,2021-07-17,3240.1023
Indonesia,2021-07-18,3416.9485
Indonesia,2021-07-19,3633.1455
Indonesia,2021-07-20,3427.7646
Indonesia,2021-07-21,2406.6282
Indonesia,2021-07-22,2363.8254
Indonesia,2021-07-23,2408.9692
Indonesia,2021-07-24,2099.2988
Indonesia,2021-07-25,2269.1018
Indonesia,2021-07-26,2235.0063
Indonesia,2021-07-27,2638.0227
Indonesia,2021-07-28,2879.269
Indonesia,2021-07-29,3026.5024
Indonesia,2021-07-30,3115.5715
Indonesia,2021-07-31,3164.9614
Indonesia,2021-08-01,2958.6682
Indonesia,2021-08-02,2952.4897
Indonesia,2021-08-03,2868.2163
Indonesia,2021-08-04,2875.5598
Indonesia,2021-08-05,2605.4424
Indonesia,2021-08-06,2731.0332
Indonesia,2021-08-07,2759.3567
Indonesia,2021-08-08,3137.6028
Indonesia,2021-08-09,3187.5127
Indonesia,2021-08-10,3355.8608
Indonesia,2021-08-11,3429.9343
Indonesia,2021-08-12,3378.8645
Indonesia,2021-08-13,4179.9023
Indonesia,2021-08-14,4234.697
Indonesia,2021-08-15,3855.4622
Indonesia,2021-08-16,4132.2217
Indonesia,2021-08-17,4123.584
Indonesia,2021-08-18,3817.2778
Indonesia,2021-08-19,4495.839
Indonesia,2021-08-20,3492.095
Indonesia,2021-08-21,3476.0725
Indonesia,2021-08-22,3658.5295
Indonesia,2021-08-23,3544.5361
Indonesia,2021-08-24,3570.1199
Indonesia,2021-08-25,3847.703
Indonesia,2021-08-26,3263.4912
Indonesia,2021-08-27,3739.8887
Indonesia,2021-08-28,3959.398
Indonesia,2021-08-29,3879.213
Indonesia,2021-08-30,3987.7864
Indonesia,2021-08-31,4025.3284
Indonesia,2021-09-01,4192.171
Indonesia,2021-09-02,4517.7563
Indonesia,2021-09-03,4603.8965
Indonesia,2021-09-04,4334.0415
Indonesia,2021-09-05,4351.414
Indonesia,2021-09-06,4108.019
Indonesia,2021-09-07,4307.8237
Indonesia,2021-09-08,4420.4707
Indonesia,2021-09-09,4653.814
Indonesia,2021-09-10,4355.2036
Indonesia,2021-09-11,4815.387
