Entity,Day,"Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)"
Indonesia,2020-03-01,0
Indonesia,2020-03-02,0
Indonesia,2020-03-03,0
Indonesia,2020-03-04,0
Indonesia,2020-03-05,0
Indonesia,2020-03-06,0
Indonesia,2020-03-07,0
Indonesia,2020-03-08,0
Indonesia,2020-03-09,0
Indonesia,2020-03-10,0
Indonesia,2020-03-11,0.000512344
Indonesia,2020-03-12,0.000512344
Indonesia,2020-03-13,0.001024688
Indonesia,2020-03-14,0.002049376
Indonesia,2020-03-15,0.002049376
Indonesia,2020-03-16,0.0025617199
Indonesia,2020-03-17,0.0025617199
Indonesia,2020-03-18,0.009222192
Indonesia,2020-03-19,0.012296256
Indonesia,2020-03-20,0.01537032
Indonesia,2020-03-21,0.017419696
Indonesia,2020-03-22,0.022543136
Indonesia,2020-03-23,0.022543136
Indonesia,2020-03-24,0.025617199
Indonesia,2020-03-25,0.019981416
Indonesia,2020-03-26,0.027154231
Indonesia,2020-03-27,0.02817892
Indonesia,2020-03-28,0.032790016
Indonesia,2020-03-29,0.033814702
Indonesia,2020-03-30,0.03740111
Indonesia,2020-03-31,0.04149986
Indonesia,2020-04-01,0.050722055
Indonesia,2020-04-02,0.047135647
Indonesia,2020-04-03,0.048160333
Indonesia,2020-04-04,0.045598615
Indonesia,2020-04-05,0.043036893
Indonesia,2020-04-06,0.044573925
Indonesia,2020-04-07,0.04354924
Indonesia,2020-04-08,0.04252455
Indonesia,2020-04-09,0.05635784
Indonesia,2020-04-10,0.064043
Indonesia,2020-04-11,0.06967878
Indonesia,2020-04-12,0.0896602
Indonesia,2020-04-13,0.09734536
Indonesia,2020-04-14,0.12193786
Indonesia,2020-04-15,0.11732677
Indonesia,2020-04-16,0.1106663
Indonesia,2020-04-17,0.10964161
Indonesia,2020-04-18,0.10656755
Indonesia,2020-04-19,0.10707989
Indonesia,2020-04-20,0.0978577
Indonesia,2020-04-21,0.080438
Indonesia,2020-04-22,0.0850491
Indonesia,2020-04-23,0.07736394
Indonesia,2020-04-24,0.08658613
Indonesia,2020-04-25,0.094783634
Indonesia,2020-04-26,0.08248738
Indonesia,2020-04-27,0.0896602
Indonesia,2020-04-28,0.080438
Indonesia,2020-04-29,0.07633925
Indonesia,2020-04-30,0.07428988
Indonesia,2020-05-01,0.05687018
Indonesia,2020-05-02,0.05687018
Indonesia,2020-05-03,0.052259088
Indonesia,2020-05-04,0.050722055
Indonesia,2020-05-05,0.050722055
Indonesia,2020-05-06,0.05687018
Indonesia,2020-05-07,0.07070347
Indonesia,2020-05-08,0.07326519
Indonesia,2020-05-09,0.06558003
Indonesia,2020-05-10,0.06558003
Indonesia,2020-05-11,0.065067686
Indonesia,2020-05-12,0.06916644
Indonesia,2020-05-13,0.06814175
Indonesia,2020-05-14,0.05789487
Indonesia,2020-05-15,0.06814175
Indonesia,2020-05-16,0.06660472
Indonesia,2020-05-17,0.0896602
Indonesia,2020-05-18,0.102468796
Indonesia,2020-05-19,0.10964161
Indonesia,2020-05-20,0.10964161
Indonesia,2020-05-21,0.12040084
Indonesia,2020-05-22,0.128086
Indonesia,2020-05-23,0.13423412
Indonesia,2020-05-24,0.11476505
Indonesia,2020-05-25,0.102468796
Indonesia,2020-05-26,0.10093176
Indonesia,2020-05-27,0.11835146
Indonesia,2020-05-28,0.11169099
Indonesia,2020-05-29,0.09939473
Indonesia,2020-05-30,0.11374036
Indonesia,2020-05-31,0.123474896
Indonesia,2020-06-01,0.128086
Indonesia,2020-06-02,0.12552427
Indonesia,2020-06-03,0.115277395
Indonesia,2020-06-04,0.115277395
Indonesia,2020-06-05,0.128086
Indonesia,2020-06-06,0.11681443
Indonesia,2020-06-07,0.12193786
Indonesia,2020-06-08,0.12398724
Indonesia,2020-06-09,0.13320944
Indonesia,2020-06-10,0.13372178
Indonesia,2020-06-11,0.14294396
Indonesia,2020-06-12,0.14243163
Indonesia,2020-06-13,0.14857976
Indonesia,2020-06-14,0.14499335
Indonesia,2020-06-15,0.16138835
Indonesia,2020-06-16,0.15780194
Indonesia,2020-06-17,0.16241305
Indonesia,2020-06-18,0.17368461
Indonesia,2020-06-19,0.16651179
Indonesia,2020-06-20,0.17317227
Indonesia,2020-06-21,0.16958585
Indonesia,2020-06-22,0.15472788
Indonesia,2020-06-23,0.15575257
Indonesia,2020-06-24,0.15216616
Indonesia,2020-06-25,0.14396866
Indonesia,2020-06-26,0.15882663
Indonesia,2020-06-27,0.1490921
Indonesia,2020-06-28,0.14806741
Indonesia,2020-06-29,0.15626492
Indonesia,2020-06-30,0.17470929
Indonesia,2020-07-01,0.18495618
Indonesia,2020-07-02,0.18803024
Indonesia,2020-07-03,0.18085742
Indonesia,2020-07-04,0.18905492
Indonesia,2020-07-05,0.21364744
Indonesia,2020-07-06,0.22338198
Indonesia,2020-07-07,0.22184494
Indonesia,2020-07-08,0.2177462
Indonesia,2020-07-09,0.22030792
Indonesia,2020-07-10,0.22184494
