Entity,Year,Population - Sex: all - Age: all - Variant: estimates
Indonesia,1950,68799030
Indonesia,1951,70286312
Indonesia,1952,71876439
Indonesia,1953,73569145
Indonesia,1954,75367369
Indonesia,1955,77273504
Indonesia,1956,79282556
Indonesia,1957,81390843
Indonesia,1958,83592765
Indonesia,1959,85892868
Indonesia,1960,88296073
Indonesia,1961,90791250
Indonesia,1962,93375848
Indonesia,1963,96051425
Indonesia,1964,98833757
Indonesia,1965,101365131
Indonesia,1966,103792757
Indonesia,1967,106526397
Indonesia,1968,109450007
Indonesia,1969,112517638
Indonesia,1970,115657496
Indonesia,1971,118833699
Indonesia,1972,122039843
Indonesia,1973,125288516
Indonesia,1974,128555052
Indonesia,1975,131843849
Indonesia,1976,135173656
Indonesia,1977,138533539
Indonesia,1978,141953163
Indonesia,1979,145434830
Indonesia,1980,148950537
Indonesia,1981,152485036
Indonesia,1982,156052154
Indonesia,1983,159651382
Indonesia,1984,163251124
Indonesia,1985,166776182
Indonesia,1986,170175064
Indonesia,1987,173511158
Indonesia,1988,176855069
Indonesia,1989,180201637
Indonesia,1990,183501097
Indonesia,1991,186778237
Indonesia,1992,190043743
Indonesia,1993,193305171
Indonesia,1994,196591830
Indonesia,1995,199888054
Indonesia,1996,203204352
Indonesia,1997,206536090
Indonesia,1998,209826791
Indonesia,1999,213004666
Indonesia,2000,216077791
Indonesia,2001,219097906
Indonesia,2002,222088499
Indonesia,2003,225048004
Indonesia,2004,227926647
Indonesia,2005,230871649
Indonesia,2006,233951650
Indonesia,2007,237062339
Indonesia,2008,240157901
Indonesia,2009,243220024
Indonesia,2010,246305326
Indonesia,2011,249470029
Indonesia,2012,252698526
Indonesia,2013,255852466
Indonesia,2014,258877397
Indonesia,2015,261799249
Indonesia,2016,264627428
Indonesia,2017,267346655
Indonesia,2018,269951847
Indonesia,2019,272489379
Indonesia,2020,274814864
Indonesia,2021,276758056
Indonesia,2022,278830529
Indonesia,2023,281190068
